Tienda_Delegacion,Tienda_Colonia,Tienda_Nombre,Tienda_Url
Benito Juárez,Álamos,Abarrotes Patoto,https://abarrotespatoto.netamx.app/
Gustavo A. Madero,Tres Estrellas,Abarrotes La Estrella,https://abarroteslaestrella.netamx.app/
Benito Juárez,Narvarte Poniente,Cremería y Abarrotes La Oruga,https://cremeriayabarroteslaoruga.netamx.app/
Álvaro Obregón,Panteón Sta Fé,Patylu,https://patylu.netamx.app/
Cuajimalpa de Morelos,Granjas Navidad,Abarrotes Los Mueganos,https://abarroteslosmueganos.netamx.app/
Cuajimalpa de Morelos,Granjas Navidad,Super Esquina,https://superesquina.netamx.app/
Álvaro Obregón,Panteón Sta Fé,Patylu,https://patylu.netamx.app/
Benito Juárez,Narvarte Oriente,Esperanza,https://esperanza.netamx.app/
Benito Juárez,Atenor Salas,La bicla de kary,https://labicladekary.netamx.app/
Benito Juárez,Nonoalco,Cavana,https://cavana.netamx.app/
Benito Juárez,Narvarte Poniente,Abarrotes el puerto,https://abarroteselpuerto.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,Abarrotes el Río,https://abarroteselrio.netamx.app/
Cuauhtémoc,Sta María la Ribera,Abts Lory - Santa Maria la Rivera,https://abtslory-santamarialarivera.netamx.app/
Tlalnepantla Centro,Tlalnepantla Centro,Abts Osnaya,https://abtsosnaya.netamx.app/
Álvaro Obregón,2da Amp el Pirú,Abarrotes Castilla Galante,https://abarrotescastillagalante.netamx.app/
Cuajimalpa de Morelos,Granjas Navidad,Cremería Angie,https://cremeriaangie.netamx.app/
Cuajimalpa de Morelos,San Mateo Tlaltenango,La Curva,https://lacurva.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Papelería telaraña,https://papeleriatelarana.netamx.app/
Cuajimalpa de Morelos,Manzanastitla,Don Matías,https://donmatias.netamx.app/
Álvaro Obregón,Piloto Adolfo López Mateos,Abarrotes Macías,https://abarrotesmacias.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Abarrotes bayo,https://abarrotesbayo.netamx.app/
Álvaro Obregón,Tolteca,La mandarina atómica,https://lamandarinaatomica.netamx.app/
Álvaro Obregón,José María Pino Suárez,Papelería G?icho,https://papeleriaguicho.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Cremería San José,https://cremeriasanjose.netamx.app/
Cuajimalpa de Morelos,Rosa Torres,Abarrotes la marukita,https://abarroteslamarukita.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Cremeria Valma,https://cremeriavalma.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abarrotes Roy,https://abarrotesroy.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abarrotes San Juan,https://abarrotessanjuan.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abts Mayte,https://abtsmayte.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Abarrotes serviplus,https://abarrotesserviplus.netamx.app/
Álvaro Obregón,Olivar del Conde 1ra Secc,Porvenir,https://porvenir.netamx.app/
Álvaro Obregón,Olivar del Conde 1ra Secc,Frida Lucía,https://fridalucia.netamx.app/
Cuajimalpa de Morelos,Cuajimalpa,Crisomy Max,https://crisomymax.netamx.app/
Álvaro Obregón,Lomas de Plateros,Papelería Centenario,https://papeleriacentenario.netamx.app/
Álvaro Obregón,Pueblo de Sta Lucía,Los Chubys,https://loschubys.netamx.app/
Álvaro Obregón,Molino de Rosas,Farmacia Leo,https://farmacialeo.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Tienda Pati Uñas,https://tiendapatiunas.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Vily,https://vily.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Misc La Esperanza / Gabriel,https://misclaesperanza.netamx.app/
Emiliano Zapata 2da Secc,Emiliano Zapata 2da Secc,Papelería Monarca,https://papeleriamonarca.netamx.app/
Emiliano Zapata 2da Secc,Emiliano Zapata 2da Secc,Abarrotes judisa,https://abarrotesjudisa.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Jarceria La Cabaña,https://jarcerialacabana.netamx.app/
Álvaro Obregón,Progresista,Mini exprés,https://miniexpres.netamx.app/
Álvaro Obregón,Progresista,Abts La Gloria,https://abtslagloria.netamx.app/
Álvaro Obregón,Tlacuitlapa,La concha,https://laconcha.netamx.app/
Granjas Valle de Guadalupe,Granjas Valle de Guadalupe,Cafeteria La Favorita,https://cafeterialafavorita.netamx.app/
Benito Juárez,Narvarte Poniente,La parrilla del viejo,https://laparrilladelviejo.netamx.app/
Álvaro Obregón,Olivar del Conde 2da Secc,Lider Optulia Pineda,https://lideroptuliapineda.netamx.app/
Cuajimalpa de Morelos,Contadero,Dulces Cae - San Mateo,https://dulcescae-sanmateo.netamx.app/
Álvaro Obregón,Minas de Cristo,Ultramarinos plateros,https://ultramarinosplateros.netamx.app/
Álvaro Obregón,Piloto Adolfo López Mateos,Abts La Esperanza_Roberto - Piloto,https://abtslaesperanza.netamx.app/
